year,party,pct_won,state_dist
2016,R,58.3,NV-2
2016,D,47.23,NV-3
2016,D,48.52,NV-4
2018,D,66.17,NV-1
2018,R,58.23,NV-2
2018,D,51.89,NV-3
2018,D,51.93,NV-4
2014,R,51.71,NH-1
2014,D,54.87,NH-2
2016,D,44.29,NH-1
2016,D,49.75,NH-2
2018,D,53.56,NH-1
2018,D,55.54,NH-2
2014,D,57.43,NJ-1
2014,R,61.46,NJ-2
2014,R,53.99,NJ-3
2014,R,67.96,NJ-4
2014,R,55.41,NJ-5
2014,D,59.93,NJ-6
2014,R,59.25,NJ-7
2014,D,77.35,NJ-8
2014,D,68.49,NJ-9
2014,D,85.38,NJ-10
2014,R,62.57,NJ-11
2014,D,60.95,NJ-12
2016,D,59.98,NJ-1
2016,R,59.21,NJ-2
2016,R,59.32,NJ-3
2016,R,63.72,NJ-4
2016,D,51.11,NJ-5
2016,D,63.73,NJ-6
2016,R,54.08,NJ-7
2016,D,77.04,NJ-8
2016,D,69.73,NJ-9
2016,D,85.67,NJ-10
2016,R,58.0,NJ-11
2016,D,62.86,NJ-12
2018,D,64.39,NJ-1
2018,D,52.9,NJ-2
2018,D,50.01,NJ-3
2018,R,55.4,NJ-4
2018,D,56.17,NJ-5
2018,D,63.63,NJ-6
2018,D,51.74,NJ-7
2018,D,78.12,NJ-8
2018,D,70.27,NJ-9
2018,D,87.56,NJ-10
2018,D,56.77,NJ-11
2018,D,68.68,NJ-12
2014,D,58.59,NM-1
2014,R,64.43,NM-2
2014,D,61.52,NM-3
2016,D,65.15,NM-1
2016,R,62.72,NM-2
2016,D,62.42,NM-3
2018,D,59.13,NM-1
2018,D,50.93,NM-2
2018,D,63.38,NM-3
2014,R,43.61,NY-1
2014,R,52.29,NY-2
2014,D,46.97,NY-3
2014,D,47.79,NY-4
2014,D,80.2,NY-5
2014,D,63.68,NY-6
2014,D,68.8,NY-7
2014,D,74.09,NY-8
2014,D,69.87,NY-9
2014,D,65.31,NY-10
2014,R,43.51,NY-11
2014,D,66.8,NY-12
2014,D,69.08,NY-13
2014,D,67.34,NY-14
2014,D,86.71,NY-15
2014,D,64.97,NY-16
2014,D,49.15,NY-17
2014,D,40.83,NY-18
2014,R,48.55,NY-19
2014,D,48.8,NY-20
2014,R,43.85,NY-21
2014,R,64.76,NY-22
2014,R,49.53,NY-23
2014,R,46.15,NY-24
2014,D,44.41,NY-25
2014,D,57.87,NY-26
2014,R,50.74,NY-27
2016,R,46.38,NY-1
2016,R,49.62,NY-2
2016,D,48.94,NY-3
2016,D,52.99,NY-4
2016,D,79.38,NY-5
2016,D,62.49,NY-6
2016,D,80.11,NY-7
2016,D,78.89,NY-8
2016,D,77.43,NY-9
2016,D,67.58,NY-10
2016,R,48.71,NY-11
2016,D,73.7,NY-12
2016,D,81.18,NY-13
2016,D,70.13,NY-14
2016,D,85.54,NY-15
2016,D,69.14,NY-16
2016,D,59.53,NY-17
2016,D,44.17,NY-18
2016,R,41.61,NY-19
2016,D,56.67,NY-20
2016,R,52.87,NY-21
2016,R,38.26,NY-22
2016,R,46.24,NY-23
2016,R,47.66,NY-24
2016,D,50.14,NY-25
2016,D,62.84,NY-26
2016,R,49.52,NY-27
2018,D,46.0,NY-1
2018,R,46.67,NY-2
2018,D,56.14,NY-3
2018,D,60.23,NY-4
2018,D,99.4,NY-5
2018,D,84.5,NY-6
2018,D,85.27,NY-7
2018,D,89.19,NY-8
2018,D,82.23,NY-9
2018,D,76.85,NY-10
2018,D,50.4,NY-11
2018,D,81.73,NY-12
2018,D,89.85,NY-13
2018,D,78.13,NY-14
2018,D,94.03,NY-15
2018,D,94.25,NY-16
2018,D,82.5,NY-17
2018,D,50.21,NY-18
2018,D,47.08,NY-19
2018,D,60.65,NY-20
2018,R,49.49,NY-21
2018,D,46.18,NY-22
2018,R,47.73,NY-23
2018,D,44.5,NY-24
2018,D,54.78,NY-25
2018,D,68.05,NY-26
2018,D,44.92,NY-27
2014,D,73.38,NC-1
2014,R,58.83,NC-2
2014,R,67.81,NC-3
2014,D,74.75,NC-4
2014,R,61.02,NC-5
2014,R,58.67,NC-6
2014,R,59.35,NC-7
2014,R,64.86,NC-8
2014,R,93.9,NC-9
2014,R,61.02,NC-10
2014,R,62.9,NC-11
2014,D,75.35,NC-12
2014,R,57.31,NC-13
2016,D,68.62,NC-1
2016,R,56.71,NC-2
2016,R,67.2,NC-3
2016,D,68.22,NC-4
2016,R,58.4,NC-5
2016,R,59.23,NC-6
2016,R,60.91,NC-7
2016,R,58.77,NC-8
2016,R,58.18,NC-9
2016,R,63.14,NC-10
2016,R,64.09,NC-11
2016,D,67.02,NC-12
2016,R,56.1,NC-13
2018,D,69.85,NC-1
2018,R,51.27,NC-2
2018,R,100.0,NC-3
2018,D,72.37,NC-4
2018,R,57.03,NC-5
2018,R,56.52,NC-6
2018,R,55.54,NC-7
2018,R,55.34,NC-8
2018,R,49.25,NC-9
2018,R,59.29,NC-10
2018,R,59.21,NC-11
2018,D,73.07,NC-12
2018,R,51.54,NC-13
2014,R,55.54,ND-0
2016,R,69.13,ND-0
2018,R,60.2,ND-0
2014,R,63.22,OH-1
2014,R,65.96,OH-2
2014,D,64.06,OH-3
2014,R,67.67,OH-4
2014,R,66.46,OH-5
2014,R,58.23,OH-6
2014,R,100.0,OH-7
2014,R,67.19,OH-8
2014,D,67.74,OH-9
2014,R,65.18,OH-10
2014,D,79.45,OH-11
2014,R,68.11,OH-12
2014,D,68.49,OH-13
2014,R,63.26,OH-14
2014,R,66.02,OH-15
2014,R,63.74,OH-16
2016,R,59.19,OH-1
2016,R,65.0,OH-2
2016,D,68.57,OH-3
2016,R,67.99,OH-4
2016,R,70.9,OH-5
2016,R,70.68,OH-6
2016,R,64.03,OH-7
2016,R,68.76,OH-8
2016,D,68.69,OH-9
2016,R,64.09,OH-10
2016,D,80.25,OH-11
2016,R,66.55,OH-12
2016,D,67.73,OH-13
2016,R,62.58,OH-14
2016,R,66.16,OH-15
2016,R,65.33,OH-16
2018,R,51.32,OH-1
2018,R,57.55,OH-2
2018,D,73.61,OH-3
2018,R,65.26,OH-4
