,state,district,year,total_pop,under_5,X5_to_9,X10_to_14,X15_to_19,X20_to_24,X25_to_34,X35_to_44,X45_to_54,X55_to_59,X60_to_64,X65_to_74,X75_to_84,X85_over,median_age,white_pct,black_pct,amer_ind,asian_pct,pac_isl_pct,hispanic_pct
943,CA,52,2014,759602,6.1,5.6,5.4,6,7.8,17.6,13.4,13.7,6.2,5.6,7.1,3.8,1.8,36.2,68.9,3.1,0.3,19.2,0.3,14.5
944,CA,53,2014,753810,6.5,5.1,4.9,6.5,8.4,18.2,13.1,13.3,6.2,5.2,6.7,4.1,1.7,35.2,65.3,7.8,0.5,14.1,0.6,33.4
945,CO,1,2014,788694,6.7,5.9,5.6,4.7,6.7,20.9,15.2,12.2,5.9,5.2,6.6,3,1.5,34.8,79.9,8.3,1,3.7,0,28.2
946,CO,2,2014,765721,5,5.5,5.9,7.1,9.9,13.5,12.8,13.1,7.3,6.7,8.5,3.4,1.3,37.5,90.8,0.9,0.6,3,0.2,10.2
947,CO,3,2014,729368,5.6,6.8,6.6,6.1,6.7,13,12.1,12.8,7.3,7.2,9.5,4.6,1.8,38.9,88.2,0.9,2.3,0.7,0.2,24.8
948,CO,4,2014,768242,6.6,7.4,7.7,6.9,6.4,12.4,13.7,14.1,6.5,5.7,7.5,3.6,1.4,36.8,89,1.6,0.8,1.9,0,21.7
949,CO,5,2014,759664,6.5,6.3,7.1,6.9,7.9,14.8,12.4,13.3,6.4,5.8,7.7,3.6,1.4,35.3,80.8,5.3,0.6,2.6,0.2,15.4
950,CO,6,2014,772966,6.6,8.1,7.5,6.5,5.8,14.1,15.1,14,6.2,5.1,6.8,2.9,1.3,35.8,74.4,9.1,0.8,5.2,0.2,20
951,CO,7,2014,771211,6.4,6.5,6.6,6.2,6.8,15.4,13.3,13.6,6.3,6.1,7.2,3.8,1.6,36.3,88.1,1.6,1.4,3.4,0,27.9
952,CT,1,2014,711205,5.3,5.6,6.4,6.7,6.3,12.6,12,15.1,8,5.9,8.7,4.7,2.7,40.9,70.7,15.3,0.2,4.9,0,16.2
953,CT,2,2014,710798,4.7,5.4,6.1,7.4,7.9,11.1,11.5,15.8,7.7,6.3,9.2,5,1.9,41.9,86.2,4.3,0.3,3,0,7.9
954,CT,3,2014,720986,5.1,5.2,6.2,7,7.6,13.9,11.9,14.1,7,6.4,8.4,4.6,2.6,39.4,74.8,13.2,0.1,4,0,14.4
955,CT,4,2014,740215,5.9,6.8,7.1,7.1,6.1,11.6,13.3,15.4,7,5.9,7.4,4.4,2.1,38.9,72.5,12.1,0.2,5.5,0,19
956,CT,5,2014,713473,5.2,5.9,6.5,6.9,6.1,11.7,12.6,15.9,7.5,6.2,8.7,4.2,2.7,41.5,80.3,6.7,0.1,3.7,0,17.6
957,DE,0,2014,935614,6,6.1,6.1,6.5,6.8,13,11.9,13.7,7.4,6,9.8,4.8,1.8,39.6,69.2,21.7,0.4,3.9,0,8.9
958,FL,1,2014,743897,5.8,6.4,5.6,6.5,8,14,11.7,13.4,7.1,5.8,9.2,4.8,1.7,38.2,76.9,13.5,0.6,2.7,0.2,6.2
959,FL,2,2014,711296,5.4,5.6,5.4,7.1,10.6,13.7,12.1,12.8,6.5,6.2,8.7,4.2,1.6,36.8,69.3,25,0.5,2,0.2,5.8
960,FL,3,2014,716034,5.2,5.9,5.6,7.5,8.9,12.5,11.4,13.1,6.8,6,10.2,4.7,2.1,38.8,80.1,12.6,0.3,2.9,0.1,9.1
961,FL,4,2014,714880,6,5.8,6.4,5.9,7,15.4,12.6,14.2,6.8,5.8,8.6,4,1.8,38.1,77.6,13.6,0.2,4.6,0,8.2
962,FL,5,2014,742217,7.6,6.7,6,6.8,8.4,15.6,12.4,13,6.6,5.5,6.5,3.6,1.4,34,38.9,52.9,0.1,2.6,0,12.9
963,FL,6,2014,736069,4.6,4.7,5.8,5.8,5.5,10.4,10.7,13.7,7.6,7.7,13.3,7.1,3.2,46.8,85.3,9.2,0.3,1.9,0.1,7.8
964,FL,7,2014,735643,5.2,5.8,6.2,7.6,8.1,14,12.4,14,6.7,5.9,8.1,3.7,2.3,37.4,80.1,10.5,0.3,3.7,0,21.2
965,FL,8,2014,715672,4.5,5.2,5.2,5.7,5.3,10.4,10.3,14.2,7.9,7.3,12.6,7.7,3.6,47.7,83.3,10.4,0.3,2.2,0.1,10
966,FL,9,2014,769993,6,7.8,6.7,7.1,7.4,14.4,15.5,13.5,5.3,4.8,6.9,3.2,1.4,35.4,73.9,10.5,0.3,4.5,0.3,47.4
967,FL,10,2014,758350,5.7,5.8,6.2,5.3,6.1,13.5,12.6,13.6,6.1,6,11.3,5.6,2.1,41,78,11.8,0.3,4.2,0.1,18.5
968,FL,11,2014,728133,4,4.7,4.8,4.8,4.6,8.7,9.4,11.4,6.7,7.9,18.6,10.7,3.5,52.8,86.5,8.6,0.2,1.2,0,9.3
969,FL,12,2014,729937,4.9,5.9,6,5.7,4.9,10.4,12.6,14.5,6.8,6.6,11.5,6.6,3.4,44.6,88,5.2,0.2,2.8,0.1,13
970,FL,13,2014,707503,4.5,4.3,4.6,4.7,5.3,11.2,11.3,14.8,8.1,7.4,12.7,7.5,3.4,47.9,86.3,6,0.3,3.3,0.1,9.6
971,FL,14,2014,757963,6.7,6,5.8,5.9,7.2,16.7,14,13.3,6.4,5.3,7.2,3.7,1.8,36.1,62.6,25.2,0.4,3.5,0.1,29
972,FL,15,2014,724176,5.9,6.4,6.8,7.1,8.1,13.1,12,13.9,6.6,5.7,8.5,4.4,1.6,37.4,74.4,14.2,0.3,2.9,0.1,18.1
973,FL,16,2014,744076,4.3,4.7,4.9,4.9,4.8,9.1,9.9,12.6,7.3,7.4,15.8,10.1,4.2,51.1,88.5,6.7,0.2,1.8,0.2,12
974,FL,17,2014,725251,4.6,5.3,6.2,5.8,5.1,10,10.7,11.7,7.1,6.9,14.2,9,3.4,47.2,83.9,8.9,0.4,1.6,0.1,19.2
975,FL,18,2014,731704,4.6,5,5.3,5.4,4.9,10.6,11.3,14.2,7.5,6.9,12.5,8.2,3.6,47.2,80.8,12.9,0.2,1.8,0,14.9
976,FL,19,2014,753542,4.6,4.8,5,4.9,4.8,10.2,9.9,12.2,6.8,7.7,16.2,9.3,3.7,50,86.6,8.1,0.3,1.4,0.1,19.1
977,FL,20,2014,745656,6.7,6.7,6,5.9,7.7,14.7,12.9,13.4,6.5,5.6,7.5,4.3,2.3,36.6,41.3,51.9,0.3,2.2,0,21.5
978,FL,21,2014,742664,4.8,5.7,6.7,6.3,5.4,10.4,11.4,14.1,6.5,5.5,10.8,8.2,4.2,44.4,78.1,12.8,0.2,3.8,0,22
979,FL,22,2014,731165,4.8,4.9,4.7,4.6,5.3,13.6,12.4,14.3,7.2,6.8,11.1,6.4,3.9,44.8,80.1,12.5,0.1,2.8,0.1,20.9
980,FL,23,2014,730033,5.8,5.4,6,5.8,5.9,12.6,14.3,15.9,6.3,5.8,8.7,5.1,2.5,41.2,77.4,11.8,0.3,3.3,0.1,40
981,FL,24,2014,741950,6.7,5.9,6.1,6.5,7.8,15.7,13.9,14,5.5,5.7,7,3.5,1.5,35.8,35.9,57.6,0.2,1.6,0,32.1
982,FL,25,2014,745358,5.5,5.6,6.8,6.1,6.8,12.8,14.2,15.4,6,5,8.4,5.4,1.9,39.5,85.5,7.3,0.2,2.3,0,70.8
983,FL,26,2014,749692,5.4,5.6,5.4,6.7,7,13.4,13,14.6,7,6.1,8.6,5,2.3,40.1,86.3,9.4,0.1,1.8,0,68.8
984,FL,27,2014,760443,6.1,5.4,5.6,5.8,6.6,13.4,14.8,14.6,5.9,5.4,8.5,5.1,2.8,39.9,87.3,7.2,0.1,1.8,0,76.1
985,GA,1,2014,729328,7.1,6.6,6.9,6.5,8.1,14.8,12.3,12.8,6.4,5.3,7.9,3.6,1.5,35,62.3,29.8,0.5,2.1,0.1,6.2
986,GA,2,2014,685342,7,7,6.8,6.7,8.3,13.6,11.9,12.8,6.2,6,8.3,3.9,1.6,35.6,42.9,51.5,0.1,1,0.1,5
987,GA,3,2014,725530,6,7,7.3,7.8,7.3,12.2,13,14.1,6,5.7,8.5,3.9,1.3,37,69.4,24.4,0.2,1.9,0.2,5.2
988,GA,4,2014,728367,6.7,7.2,7.4,7.2,6.4,13.9,14.2,14.7,6.5,5.6,6.7,2.5,1,35.7,31.3,57.2,0.4,5.2,0.2,10.2
989,GA,5,2014,738016,7.1,5.9,5.2,6.2,9.4,19.1,14,12.3,5.4,5,6.6,2.8,1.1,33.5,33.1,58.1,0.2,4.4,0,6.6
990,GA,6,2014,732089,6.7,7.6,7.1,5.7,5,13.9,16.1,15.5,6.2,5.3,6.4,3,1.5,37.5,70.8,13.7,0.4,10.4,0.1,12.4
991,GA,7,2014,752996,6.6,7.2,8.7,7.1,6.1,13.6,15.5,15.7,5.8,4.8,5.8,2.3,0.8,35.5,58.8,18.8,0.4,13,0,18.3
992,GA,8,2014,705698,6.1,7.2,6.8,7.5,7.3,12.9,13,13,6.4,5.7,8.5,4.2,1.5,36.6,64.6,30.9,0.2,1.2,0,5.9
993,GA,9,2014,717371,5.5,7,7,6.7,6.5,11.2,12.9,13.2,6.3,6.3,10.6,5,1.6,39.7,86.5,7.4,0.4,1,0,12.5
994,GA,10,2014,713570,5.7,6.7,7,8.5,8,11.5,13.3,13.5,6.2,5.9,8.5,4,1.4,37.1,68.6,26.7,0.1,2.1,0,4.9
995,GA,11,2014,725169,6.4,6.9,6.7,7.1,6.8,14.8,14.3,14.5,6.2,5.4,7,3,1,35.9,73.1,17.6,0.1,3.4,0,10.8
996,GA,12,2014,701628,6.5,6.5,6.8,8.2,8.2,13.8,12.1,12.7,6.1,6,7.9,3.9,1.5,35,58.7,35.7,0.2,1.7,0,5.7
997,GA,13,2014,741383,6.9,7.9,8.3,7.4,6.8,12.6,15.3,14.2,6.4,4.7,6,2.5,1.1,35.1,34.2,56.7,0.1,2.4,0,12.4
998,GA,14,2014,700856,6.4,7.1,7.6,7.1,6.5,12.7,13.7,13.8,6.5,5.2,8.1,4.2,1.2,37.2,85,9.7,0.2,1,0,11
999,HI,1,2014,707541,6,5.4,5.6,5.4,7.5,15.5,12.7,12.8,6.1,5.9,9,5,3.2,38.6,18.5,2.3,0.1,49.8,8.9,8
1000,HI,2,2014,712020,6.8,6.6,6.4,5.9,7.2,14.2,12.2,12.4,6.9,6.5,8.9,3.8,2.3,37.5,32.2,2,0.2,25.5,11.9,12.2
1001,ID,1,2014,834295,6.2,7.2,7.5,7.3,6,12.3,12.5,12.7,6.2,6.5,9.6,4.3,1.7,37.9,93.3,0.4,1.4,1.2,0.1,10.4
1002,ID,2,2014,800169,7.5,7.9,7.8,7.2,7.6,13.6,12.3,11.3,6,5.7,7.6,4,1.6,34.1,90,1,1.3,1.8,0.1,13.8
1003,IL,1,2014,717741,5.9,6.1,6.6,7.5,7.3,13,12,13.8,7,6.1,8.2,4.4,2.1,38.1,41,51.1,0.2,1.6,0,9.9
1004,IL,2,2014,707817,6.3,6.5,6.8,7.2,7,12.3,12.2,14.4,7.3,6.1,7.9,4.1,1.8,38.2,39,55.6,0.2,0.7,0,13.2
1005,IL,3,2014,730269,6.4,6.6,6.6,7,6.7,13.2,13.7,13.6,7.1,5.5,7.8,3.9,2,37.5,76.7,4.2,0.3,4.7,0,31.1
1006,IL,4,2014,725616,7.4,8.1,7.1,7,7.4,18.3,14.7,11.6,5.1,4.6,5,2.7,1.1,31.9,58.5,4.8,0.5,3.4,0,70.6
