,laborforce_unemployed,PercentCar,Management_business_science_and_arts,Service,Production_transportation_and_material_moving,Median_household_income,No_health_insurance,non_fam_household,diff_house_1year,foreign_born,ForeignCit,home_lang_not_english,own_computer,black_pct,hispanic_pct,Pct20t45,Pct45t65,Pct65plus,r200kplus,HighSchoolEd,BachelorsOrHigher
854,2.5,81.9,32.6,19.9,17.7,47579,12.7,35.3,12.6,4.7,1.9035,6.9,87.5,3.0,6.7,28.3,28.1,22.6,3.7,29.0,26.4
855,3.0,83.3,32.8,16.7,18.5,51377,10.5,32.7,11.5,7.2,2.3904,11.4,87.6,20.5,10.2,29.7,27.7,17.6,4.6,28.6,25.6
856,2.9,82.4,41.0,14.6,13.4,61156,10.1,29.8,12.5,7.8,3.3228,11.8,91.5,19.4,8.0,30.1,26.9,15.4,9.3,23.7,36.3
857,3.2,83.9,31.9,18.2,19.9,51554,10.2,34.7,13.2,4.7,1.9693,8.3,88.5,12.6,6.6,29.9,28.3,18.5,3.9,29.4,25.2
858,3.2,75.2,40.2,17.0,13.0,57605,13.8,41.1,16.8,15.9,5.0244,22.0,95.4,37.8,15.5,40.5,23.7,9.9,7.2,18.1,40.9
859,3.5,83.2,35.5,16.0,18.6,50928,10.6,33.4,16.9,8.2,3.1242,11.7,90.6,21.5,8.1,31.5,27.0,16.6,4.3,26.4,29.3
860,3.7,78.3,37.6,19.8,15.5,45286,11.5,38.9,14.5,7.5,2.58,11.0,88.1,43.4,9.2,33.4,25.0,16.5,3.9,28.6,28.9
861,3.3,79.3,36.5,18.1,15.2,52713,9.3,31.8,15.2,6.6,3.1152,11.6,91.5,22.6,11.1,33.8,24.5,15.0,4.5,27.0,27.8
862,2.4,76.8,53.8,15.0,7.5,72739,8.5,40.1,19.8,14.7,6.8208,19.5,96.3,22.5,10.3,39.1,24.3,11.7,10.9,13.4,57.2
863,3.0,82.3,36.6,17.5,15.0,47651,10.3,36.5,11.8,6.3,1.89,10.7,88.9,15.0,9.6,30.3,27.3,18.2,4.1,28.5,26.3
864,2.9,82.7,33.5,19.1,15.1,49561,11.7,35.7,15.0,6.1,2.2204,10.2,90.4,19.1,9.6,30.5,26.2,19.8,3.8,27.3,26.5
865,2.7,81.2,44.8,15.4,11.4,71232,9.3,25.3,13.0,7.8,3.237,11.9,94.0,18.5,10.5,31.1,27.4,13.6,9.9,23.9,36.2
866,2.1,81.3,35.9,17.1,12.6,59029,7.9,38.5,17.0,3.3,1.2837,5.5,85.7,2.0,2.8,34.9,24.9,14.1,5.2,27.9,27.4
867,2.0,80.2,36.1,17.6,13.1,60656,7.0,41.3,16.2,3.2,1.3119999999999998,5.2,89.2,2.5,3.5,35.2,24.1,14.5,4.8,27.1,29.5
868,1.9,82.2,37.7,18.1,13.6,63837,7.3,41.2,16.4,4.7,2.0915,7.4,90.3,3.4,3.6,35.6,23.2,15.3,5.1,25.9,29.7
869,5.6,79.8,39.6,18.8,11.9,52182,8.0,38.1,15.2,5.2,2.0540000000000003,7.6,83.7,22.1,2.9,32.4,26.8,13.3,4.5,29.4,33.0
870,4.3,84.3,38.9,15.8,13.4,51937,8.9,36.3,12.8,2.9,1.2673,3.8,83.5,8.5,2.0,32.2,27.8,15.3,5.1,33.2,30.2
871,5.1,80.2,34.2,20.0,13.2,41684,12.4,42.3,21.9,11.5,4.393,14.0,85.5,32.5,6.2,39.6,22.6,9.6,1.6,28.8,27.4
872,4.2,85.2,27.2,17.2,24.6,47253,7.6,33.9,14.6,1.7,0.9996,3.5,82.9,5.1,3.1,30.2,28.2,16.4,1.6,41.4,16.4
873,3.3,86.2,32.5,16.3,21.1,52896,6.0,34.8,14.6,2.8,1.8228,4.7,85.8,2.9,4.8,30.5,27.7,15.9,3.5,36.4,26.1
874,4.7,86.3,28.4,18.2,19.4,43492,9.0,32.8,11.6,1.0,0.601,2.0,78.7,2.4,0.9,28.9,29.1,18.0,2.0,44.2,15.9
875,4.2,84.1,33.2,16.5,18.6,51699,7.7,32.2,16.2,3.9,1.7706,5.0,84.4,6.3,3.3,30.8,27.0,15.5,3.1,36.7,23.0
876,5.9,82.1,31.6,19.8,18.0,40137,8.7,43.1,17.7,4.2,2.247,10.0,81.8,15.5,11.0,33.4,26.6,14.5,1.9,33.8,21.6
877,5.1,84.2,37.1,18.2,14.6,45749,9.1,38.9,17.6,4.3,2.0812,5.8,83.8,17.2,2.6,31.7,26.9,16.4,2.9,28.5,28.0
878,8.4,76.2,37.0,22.5,12.7,33113,9.3,46.2,16.3,5.3,2.6606,8.0,77.7,54.3,3.7,32.6,26.8,15.2,3.3,28.4,26.2
879,3.1,83.6,46.3,13.1,10.9,68142,6.2,33.2,14.7,4.6,2.4794,5.8,88.0,3.9,2.3,32.6,27.1,13.4,7.9,26.5,40.4
880,4.7,86.8,29.8,19.2,17.5,41498,8.7,39.9,13.4,3.3,1.5807,4.8,81.7,11.9,3.1,31.6,27.4,17.7,1.5,39.5,21.5
881,3.4,85.4,40.9,15.7,13.3,61602,7.4,31.9,9.9,5.1,3.2385,8.6,85.4,4.1,2.8,27.6,30.1,18.1,5.4,31.0,33.3
882,3.8,84.1,40.5,15.8,12.4,56396,7.1,33.0,14.9,3.6,1.7928,4.7,85.9,4.1,2.0,33.8,27.0,14.3,4.3,32.6,30.7
883,3.3,85.5,40.1,13.8,12.2,60543,7.3,32.2,10.5,4.9,3.1654,9.1,87.7,2.1,2.2,29.1,29.4,17.8,4.3,30.9,32.7
884,4.1,79.7,40.5,17.5,12.6,55712,5.2,36.5,15.9,5.7,2.9697,7.9,89.6,22.0,3.0,32.1,26.4,13.9,6.3,29.0,33.8
885,3.1,83.8,39.5,17.8,13.1,55472,4.8,36.6,14.6,2.8,1.5764,4.0,87.6,8.5,2.1,31.6,27.7,16.4,5.8,30.7,32.3
886,4.9,78.9,34.5,19.0,14.9,45860,9.6,44.3,21.5,11.2,4.9728,14.6,90.4,33.2,6.4,39.3,22.7,9.7,2.1,31.2,27.8
887,3.0,84.9,28.7,16.9,23.7,52632,5.3,32.8,14.7,2.1,0.8589,3.9,87.6,5.5,3.4,30.7,27.4,16.7,2.4,41.0,17.9
888,2.9,85.7,33.8,16.4,20.5,57171,4.1,35.4,14.4,2.8,1.5288,4.8,88.7,2.6,4.9,30.7,27.2,16.8,3.9,35.0,26.2
889,3.3,85.7,29.3,17.8,19.2,46839,5.8,33.2,11.3,1.1,0.5874,2.2,82.4,2.5,1.1,28.7,29.0,18.9,2.1,42.6,15.9
890,3.4,81.6,30.0,18.2,20.2,53374,7.9,31.1,12.0,2.2,1.3794,7.4,86.6,4.0,2.1,28.3,27.9,17.8,2.7,39.4,20.9
891,3.3,84.4,35.1,15.6,18.9,58213,5.3,32.9,15.7,3.7,1.8833,5.3,89.0,6.0,3.3,30.5,26.9,15.9,3.8,35.9,23.8
892,5.1,81.2,31.8,20.8,17.7,41417,5.8,43.1,16.9,4.7,2.6038,10.0,87.1,17.0,11.3,32.7,26.4,15.5,2.5,31.6,21.6
893,3.8,82.6,37.5,18.4,14.3,49988,5.6,39.0,16.0,4.7,2.6555,5.8,88.8,17.0,2.8,31.9,26.4,17.1,3.8,27.7,28.0
894,6.2,74.3,35.0,21.9,14.1,35735,6.1,46.3,15.8,5.4,2.943,8.8,83.4,52.7,4.4,32.4,26.7,16.4,3.9,31.0,26.9
895,2.4,83.4,44.8,15.7,10.8,67415,4.1,32.6,14.1,5.6,2.7216,7.2,91.7,4.9,2.8,32.3,27.2,15.1,8.8,25.9,41.0
896,4.1,86.3,31.5,20.5,16.2,42430,5.7,41.3,12.7,4.3,1.3330000000000002,6.2,84.5,11.8,2.8,31.9,27.4,18.0,1.8,38.1,23.7
897,2.4,85.7,40.6,15.0,14.0,63362,5.3,32.8,9.7,4.6,2.7416,9.2,88.0,4.5,3.0,26.8,30.6,19.0,6.5,30.2,34.1
898,2.7,84.4,40.8,15.6,13.3,61514,4.7,34.2,15.5,3.9,2.34,5.2,90.3,4.4,2.0,34.1,26.7,14.5,4.6,32.9,31.5
899,2.5,85.7,40.1,15.2,13.4,64197,4.4,32.4,12.4,5.4,3.915,8.4,89.8,2.4,2.3,29.0,28.8,18.7,5.3,31.3,33.3
900,2.6,83.0,39.5,16.0,14.4,59617,5.5,37.3,13.3,3.2,1.7152,4.3,90.8,9.7,2.1,32.2,26.8,16.3,6.3,31.3,32.3
901,3.9,77.2,34.8,19.3,18.3,47980,10.5,44.3,20.1,13.5,6.345,15.6,92.4,34.0,7.1,38.7,22.5,10.4,2.5,29.1,29.3
902,4.2,83.1,33.4,20.5,17.0,47346,5.7,42.5,13.8,3.4,1.87,6.0,89.4,11.7,3.7,31.7,26.7,18.7,2.0,36.7,23.7
903,2.7,78.2,42.2,16.5,14.6,61397,5.8,36.1,15.8,7.1,3.2163,8.8,92.2,20.7,3.5,32.1,26.0,15.1,7.4,27.9,36.3
904,2.2,83.8,42.1,15.6,13.6,63144,5.3,35.2,13.9,4.2,2.3814,5.6,91.7,4.8,2.3,33.9,26.1,15.9,4.8,32.0,32.8
905,2.5,84.0,30.0,17.4,24.9,55425,5.3,34.4,14.0,2.0,0.898,3.9,90.8,5.1,3.9,30.1,27.4,17.5,2.4,41.4,18.9
906,2.7,85.3,29.5,18.6,19.2,47470,7.2,35.2,9.8,1.1,0.7293,2.3,85.1,2.2,0.9,28.1,28.7,20.0,2.5,44.6,17.0
907,2.7,81.6,33.4,15.8,20.2,57055,9.3,32.7,12.2,1.9,1.0564,7.8,88.3,3.9,2.5,29.3,26.5,18.4,3.4,38.7,21.3
908,3.6,81.9,38.1,17.1,15.4,54026,6.3,39.5,17.7,4.5,2.3895,5.5,91.2,16.8,3.0,31.8,25.6,17.8,4.5,27.6,30.9
909,4.6,81.5,32.0,21.1,19.1,45073,8.3,44.3,14.6,4.5,2.358,9.9,91.1,15.7,11.7,33.6,26.4,15.7,3.0,32.2,23.0
910,2.1,85.6,41.7,15.3,14.0,68706,5.4,33.6,10.8,5.6,3.7016,8.5,91.4,3.0,2.4,28.5,27.7,20.2,6.3,29.5,35.4
911,2.7,84.5,43.1,14.0,13.7,71751,6.1,33.7,9.7,5.6,3.4832,10.1,90.9,4.9,3.2,27.6,28.8,20.2,8.2,28.7,36.9
912,2.9,83.9,34.2,17.5,19.9,56963,5.8,34.8,15.3,4.2,1.911,5.6,91.5,6.1,3.6,30.5,26.4,17.0,4.2,35.2,24.6
913,5.4,75.0,37.9,20.6,14.2,38747,6.2,49.3,16.5,5.4,3.1968,9.4,87.0,52.5,4.4,32.5,26.4,17.7,4.9,27.9,29.1
914,2.4,86.2,34.9,15.9,20.9,60500,4.8,34.6,12.6,2.7,1.4985,4.9,92.0,2.6,5.3,29.5,26.7,18.2,4.5,35.5,27.0
915,2.5,83.2,47.1,13.3,11.7,76690,5.3,31.9,14.0,6.0,2.9760000000000004,8.2,93.6,4.7,2.6,32.8,26.2,15.7,10.4,26.3,42.6
916,3.5,82.2,29.4,19.2,16.9,38723,19.5,31.4,14.9,2.1,0.735,5.1,75.5,3.6,5.0,29.7,26.0,17.8,1.8,37.9,16.0
917,3.1,83.5,31.8,16.6,15.7,48959,13.3,31.9,15.7,4.4,1.4256,8.5,82.3,4.1,9.2,32.7,25.0,15.0,2.7,34.7,22.0
918,3.1,82.4,34.2,16.3,13.4,52243,12.7,32.9,19.2,4.5,2.187,7.8,84.6,7.1,8.4,34.5,24.2,13.5,2.9,32.5,23.6
919,4.0,81.3,36.6,17.7,10.7,46954,16.9,37.5,18.5,10.5,2.8455,16.2,84.9,13.5,15.3,35.1,24.2,12.9,4.8,26.1,29.4
920,4.2,82.4,28.7,19.2,16.8,40770,17.8,31.2,13.4,2.1,0.693,4.9,81.3,3.4,5.2,30.0,25.8,18.1,1.5,37.3,17.0
921,3.2,83.3,32.6,17.3,14.3,47724,12.7,34.1,14.1,4.9,1.617,8.8,85.3,3.5,9.8,32.3,24.6,15.5,2.9,34.0,22.8
922,3.3,82.5,35.0,17.7,12.2,55183,10.9,32.7,18.0,4.3,1.8877,7.2,89.4,7.1,8.5,34.1,24.7,14.2,3.3,31.6,25.5
923,3.5,82.0,36.5,17.2,10.9,49616,14.3,38.6,18.8,9.5,3.04,17.3,88.9,13.6,16.4,35.0,23.6,13.4,4.8,26.1,30.1
924,3.0,83.5,29.9,18.2,18.2,42692,17.9,31.7,14.7,2.0,0.7140000000000001,4.7,85.2,3.3,5.4,29.7,25.3,18.9,2.5,38.4,17.4
925,2.4,81.7,30.6,16.9,16.1,53419,12.9,32.5,15.4,4.8,1.9056,8.7,91.0,3.9,10.3,32.4,24.0,16.2,3.4,34.3,23.0
