,State,District,Representative ,Obama 12,Romney 12,Land area (square miles),StateAB
1095,WI,5,Jim Sensenbrenner,37.7,61.3,"1,890.75",WI
1096,FL,4,Ander Crenshaw,35.4,63.7,"1,875.97",FL
1097,CA,10,Jeff Denham,50.6,47.0,"1,818.79",CA
1098,FL,8,Bill Posey,42.2,56.8,"1,752.06",FL
1099,PA,17,Matthew Cartwright,55.4,43.3,"1,733.22",PA
1100,CA,5,Mike Thompson,69.7,27.5,"1,730.82",CA
1101,WI,1,Paul Ryan,47.4,51.6,"1,727.92",WI
1102,FL,9,Alan Grayson,61.9,37.2,"1,707.49",FL
1103,CA,25,Buck McKeon,47.8,49.7,"1,690.50",CA
1104,OK,1,Jim Bridenstine,34.2,65.8,"1,631.67",OK
1105,MA,2,Jim McGovern,58.7,39.2,"1,628.00",MA
1106,IL,14,Randy Hultgren,44.2,54.2,"1,597.60",IL
1107,SC,1,Mark Sanford,40.2,58.3,"1,547.86",SC
1108,PA,4,Scott Perry,41.5,57.1,"1,517.84",PA
1109,FL,18,Patrick Murphy,47.6,51.7,"1,512.55",FL
1110,MI,8,Mike Rogers,48.0,51.1,"1,503.18",MI
1111,MD,5,Steny Hoyer,66.2,32.3,"1,481.24",MD
1112,TX,12,Kay Granger,31.7,66.8,"1,441.16",TX
1113,VA,10,Frank Wolf,48.8,49.9,"1,372.24",VA
1114,FL,5,Corrine Brown,71.2,28.1,"1,355.03",FL
1115,NY,18,Sean Maloney,51.4,47.1,"1,353.42",NY
1116,SC,4,Trey Gowdy,36.2,62.2,"1,299.30",SC
1117,PA,15,Charles Dent,47.9,50.8,"1,285.03",PA
1118,LA,2,Cedric Richmond,75.8,22.8,"1,268.48",LA
1119,TN,5,Jim Cooper,55.9,42.5,"1,248.57",TN
1120,CT,5,Elizabeth Esty,53.5,45.3,"1,248.16",CT
1121,CA,9,Jerry McNerney,57.8,40.1,"1,245.28",CA
1122,NY,20,Paul Tonko,59.2,38.8,"1,231.28",NY
1123,MA,9,Bill Keating,55.5,43.1,"1,214.74",MA
1124,OH,16,Jim Renacci,45.2,53.4,"1,205.34",OH
1125,CA,22,Devin Nunes,41.6,56.6,"1,165.12",CA
1126,IN,1,Peter Visclosky,61.2,37.4,"1,157.02",IN
1127,OH,10,Mike Turner,48.2,50.1,"1,129.76",OH
1128,FL,10,Daniel Webster,45.7,53.4,"1,129.32",FL
1129,IL,2,Jesse Jackson,80.7,18.5,"1,080.67",IL
1130,OR,3,Earl Blumenauer,72.0,24.7,"1,074.46",OR
1131,GA,11,Phil Gingrey,31.5,66.9,"1,071.25",GA
1132,NC,4,David Price,71.4,27.4,"1,045.35",NC
