,State,District,Representative ,Obama 12,Romney 12,Land area (square miles),StateAB
919,KS,2,Lynn Jenkins,42.0,55.6,"14,143.34",KS
920,CA,2,Jared Huffman,69.0,27.0,"12,952.23",CA
921,CA,4,Tom McClintock,39.5,57.9,"12,836.20",CA
922,MS,3,Gregg Harper,39.1,60.0,"12,754.48",MS
923,LA,4,John Fleming,39.7,59.0,"12,435.10",LA
924,IA,2,Dave Loebsack,55.8,42.7,"12,261.92",IA
925,KY,1,Ed Whitfield,32.1,66.4,"12,079.50",KY
926,IA,1,Bruce Braley,56.2,42.5,"12,048.84",IA
927,MN,1,Tim Walz,49.6,48.2,"11,973.99",MN
928,KY,5,Hal Rogers,23.2,75.0,"11,235.15",KY
929,WI,3,Ron Kind,54.8,43.8,"11,111.79",WI
930,PA,5,Glenn Thompson,41.5,57.1,"10,711.21",PA
931,MS,1,Alan Nunnelee,37.0,61.9,"10,572.80",MS
932,IL,18,Aaron Schock,37.4,60.7,"10,515.95",IL
933,AL,7,Terri Sewell,72.4,27.1,"10,156.13",AL
934,AL,2,Martha Roby,36.4,62.9,"10,141.63",AL
935,TX,4,Ralph Hall,24.8,74.0,"10,122.99",TX
936,VA,5,Robert Hurt,45.9,52.5,"10,029.79",VA
937,CA,23,Kevin McCarthy,36.1,61.5,"9,898.00",CA
938,OK,4,Tom Cole,32.9,67.1,"9,777.28",OK
939,WV,3,Nick Rahall,32.8,65.0,"9,745.33",WV
940,GA,2,Sanford Bishop,58.6,40.8,"9,626.23",GA
941,TX,28,Henry Cuellar,60.3,38.7,"9,378.53",TX
942,VT,0,Peter Welch,67.0,31.2,"9,216.66",VT
943,TN,7,Marsha Blackburn,32.9,65.7,"9,160.44",TN
